,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
181,21904,1,0,0,1,0,0,0,0,0,1,8
182,21997,1,0,0,1,0,0,0,0,0,1,1
183,22027,0,0,0,0,2,0,0,2,0,0,1
184,22220,1,0,0,0,0,0,-1,0,0,1,2
185,22456,0,0,0,1,0,0,1,0,0,0,0
186,22462,0,0,0,1,0,0,1,0,0,0,1
187,22486,3,8,0,0,7,0,-3,-1,0,11,1
188,22628,1,0,0,0,0,0,-1,0,0,1,7
189,22981,2,0,0,0,0,0,-2,0,0,2,0
190,23048,1,0,0,1,0,0,0,0,0,1,0
191,23193,0,7,0,0,4,0,0,-3,0,7,1
192,23276,1,0,0,1,0,0,0,0,0,1,4
193,23391,1,0,0,0,0,0,-1,0,0,1,1
194,23435,1,1,0,0,0,0,-1,-1,0,2,0
195,23577,1,0,0,0,0,0,-1,0,0,1,0
196,23633,0,2,0,0,2,0,0,0,0,2,0
197,23684,3,0,0,0,1,0,-3,1,0,3,2
198,23727,1,0,0,0,0,0,-1,0,0,1,1
199,23843,1,0,0,1,0,0,0,0,0,1,0
200,23856,1,0,0,1,0,0,0,0,0,1,1
201,23888,1,0,0,0,0,0,-1,0,0,1,1
202,24000,0,1,0,0,1,0,0,0,0,1,0
203,24038,0,0,0,0,0,2,0,0,2,0,1
204,24222,1,1,0,1,1,0,0,0,0,2,2
205,24347,1,0,0,1,0,0,0,0,0,1,2
206,24375,1,1,0,1,1,0,0,0,0,2,1
207,24424,1,0,0,0,0,0,-1,0,0,1,2
208,24771,0,1,0,0,1,0,0,0,0,1,0
209,24901,1,0,0,0,0,0,-1,0,0,1,1
210,25100,0,1,0,0,1,0,0,0,0,1,0
211,25137,0,0,0,1,0,0,1,0,0,0,1
212,25175,0,0,0,1,0,0,1,0,0,0,1
213,25183,2,0,0,2,0,0,0,0,0,2,1
214,25188,0,0,0,2,0,0,2,0,0,0,2
215,25459,0,1,0,0,1,0,0,0,0,1,2
216,25533,0,4,0,0,1,0,0,-3,0,4,1
217,25551,1,0,0,1,0,0,0,0,0,1,1
218,25632,1,0,0,1,0,0,0,0,0,1,1
219,25781,1,0,0,1,0,0,0,0,0,1,1
220,25810,1,0,0,1,0,0,0,0,0,1,1
221,26080,1,0,0,1,0,0,0,0,0,1,1
222,26097,1,0,0,0,0,0,-1,0,0,1,1
223,26124,1,0,0,0,0,0,-1,0,0,1,0
224,26151,1,0,0,1,0,0,0,0,0,1,0
225,26210,0,1,0,0,1,0,0,0,0,1,1
226,26333,0,0,0,1,0,0,1,0,0,0,1
227,26640,1,0,0,1,0,0,0,0,0,1,1
228,26730,1,1,0,0,0,0,-1,-1,0,2,1
229,27104,0,1,0,0,0,0,0,-1,0,1,0
230,27112,1,1,0,1,0,0,0,-1,0,2,0
231,27354,0,1,0,0,0,0,0,-1,0,1,1
232,27551,0,0,0,1,0,0,1,0,0,0,0
233,27580,1,0,0,1,0,0,0,0,0,1,1
234,27848,0,0,0,0,7,0,0,7,0,0,1
235,27892,1,0,0,0,0,0,-1,0,0,1,7
236,28217,0,1,0,0,0,0,0,-1,0,1,0
