"","neighbourhood","2016-01-01p","2016-01-01l","2016-02-01p","2016-02-01l","2016-03-01p","2016-03-01l","2016-04-01p","2016-04-01l","2016-05-01p","2016-05-01l","2016-06-01p","2016-06-01l","2016-07-01p","2016-07-01l","2016-08-01p","2016-08-01l","2016-09-01p","2016-09-01l","2016-10-01p","2016-10-01l","2016-11-01p","2016-11-01l","2016-12-01p","2016-12-01l","2017-01-01p","2017-01-01l","2017-02-01p","2017-02-01l","2017-03-01p","2017-03-01l","2017-04-01p","2017-04-01l","2017-05-01p","2017-05-01l","2017-06-01p","2017-06-01l","2017-07-01p","2017-07-01l","2017-08-01p","2017-08-01l","2017-09-01p","2017-09-01l","2017-10-01p","2017-10-01l","2017-11-01p","2017-11-01l","2017-12-01p","2017-12-01l","Boro","AreaType","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"22","Chinatown",2725,112,2500,80,2650,82,2650,82,2650,74,2449.5,66,2449.5,74,2373,63,2500,58,2500,63,2600,60,2500,61,2500,59,2500,51,2500,51,2525,52,2625,48,2525,46,2625,46,2747.5,48,2700,41,2747.5,44,2625,44,2700,41,"Manhattan","neighborhood",2650,2650,2650,2900,2800,2800,2800,2825,2895,2922.5,2950,3000,2840,2800,2700,2875,3000,2800,2895,2600,2600,2647.5,2700,2800,2635,2700,2665
"23","City Island",1800,5,1700,5,1700,5,1700,5,1450,4,1450,4,1450,4,1450,4,1450,4,1200,3,1200,3,1100,2,1100,2,1100,2,1100,2,1100,2,1200,1,1200,1,1200,1,1200,1,1200,1,1200,1,1575,2,1450,2,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"24","Civic Center",6649.5,4,8019,2,4649.5,2,4649.5,2,4649.5,2,3350,4,2350,4,4000,3,4999.5,2,4999.5,2,2700,3,4999.5,2,2700,3,3300,4,2700,3,2700,3,7299,1,7299,1,7299,1,7299,1,7299,1,7299,1,7299,1,7299,1,"Manhattan","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"25","Clinton Hill",2349.5,160,2400,129,2400,114,2400,114,2400,106,2300,106,2400,113,2400,109,2400,106,2400,101,2300,89,2400,106,2350,100,2400,86,2400,85,2400,87,2500,81,2500,76,2500,79,2500,73,2500,67,2500,72,2520,69,2500,68,"Brooklyn","neighborhood",2699,2700,2679,2650,2700,2700,2700,2700,2750,2755,2750,2600,2600,2650,2600,2600,2700,2700,2699.5,2600,2585,2762.5,2700,2730,2699.5,2600,2657
"26","Co-op City",1330,2,1304.5,2,1304.5,2,1304.5,2,1304.5,2,1304.5,2,1304.5,2,1304.5,2,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,1699,1,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"27","Cobble Hill",3550,26,3600,19,3600,19,3600,19,3600,19,3528,17,3500,19,3528,17,3514,16,3514,14,3514,12,3300,14,3500,14,3528,11,3514,12,3514,12,3514,12,3500,11,3514,10,3500,9,3500,9,3514,10,3500,9,3100,7,"Brooklyn","neighborhood",3210,3125,3150,3175,3250,3250,3100,3250,3050,3150,2997.5,2845,2750,2815,2728,2650,3000,2995,3000,3300,3200,3200,3100,2975,3063,2925,2950
"28","College Point",5625,2,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,9900,1,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2200,2200,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"29","Concourse",1425,8,1350,9,1425,8,1425,8,1300,7,1325,10,1500,9,1350,9,1425,8,1350,9,1350,9,1350,9,1350,9,2499.5,4,1350,7,1350,7,1325,6,1325,6,1425,6,1500,5,1425,6,1425,6,1425,6,1425,6,"Bronx","neighborhood",1500,1500,1495,1550,1487.5,1599.5,1650,1600,1650,1600,1525,1550,1520,1497.5,1674,1675,1600,1550,1558,1650,1722,1795,1650,1600,1595,1850,1700
"30","Coney Island",2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,2100,2,3200,1,3200,1,3200,1,3200,1,"Brooklyn","neighborhood",2200,2077.5,2150,2125,2100,1971,2131,2200,2200,2200,2197.5,2200,2325,2325,2150,2199.5,2100,2099.5,2099.5,1900,2150,2200,2195,2195,2075,2197.5,2074.5
"31","Corona",1200,15,1300,13,1200,17,1200,17,1200,17,1275,14,1275,14,1325,14,1275,14,1350,13,1300,13,1250,12,1250,12,1250,12,1250,12,1250,12,1250,12,1250,10,1200,9,1200,11,1050,6,1175,8,1175,8,1150,8,"Queens","neighborhood",1695,1850,1710,1782.5,1785,1770,1712.5,1937.5,1947.5,1982.5,1892.5,1850,1850,1765,1802.5,1842.5,1890,1887.5,1975,1825,1785,1820,1905,1950,1885,1827.5,1805
"32","Country Club",2500,1,2500,1,2500,1,2500,1,2500,1,1675,10,1700,11,1748,10,1724,11,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"33","Crown Heights",1800,413,1800,349,1800,298,1800,298,1900,269,1800,270,1800,275,1820,273,1850,257,1845,238,1800,233,1800,229,1800,217,1822.5,226,1799,220,1800,209,1750,197,1800,193,1822.5,188,1800,188,1800,180,1800,169,1825,173,1800,178,"Brooklyn","neighborhood",2300,2350,2400,2400,2400,2450,2495,2499,2432.5,2400,2300,2294.5,2290,2300,2300,2300,2300,2399,2450,2499,2450,2400,2385,2350,2300,2300,2399
"34","Douglaston",1640,14.5,1762.5,11.5,1699.75,10.5,1699.75,10.5,1700,10,800,1,1700,11,1748,10,1724,11,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2400,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"35","Downtown Brooklyn",2583.5,26,2583.5,18,2500,16,2500,16,3000,14,3000,12,3000,14,2975,12,3500,13,2450,12,2450,12,2450,13,2450,13,2450,10,2450,10,2450,9,2450,9,2450,10,2450,10,2450,11,2450,11,3600,6,3600,6,3750,4,"Brooklyn","neighborhood",3117.5,3102.5,3151,3160.5,3135,3166.5,3177,3156,3080,3095,3115.5,3056.5,3063,3142,3055,3142.5,3121,3129,3195,3230,3195,3197.5,3095,3150,3190,3280,3392
"36","DUMBO",4250,12,4250,8,2750,6,2750,6,2700,5,2700,4,3650,6,3650,6,3650,4,5300,2,5300,2,2750,4,2750,4,2700,3,4900,4,2700,4,2700,4,2800,5,2800,5,2800,5,2800,5,2800,5,2800,5,2800,5,"Brooklyn","neighborhood",4250,4074,4100,4250,4850,4700,4800,4370,4213,4500,4650,4354,4410,4750,4558.5,4450,4472.5,4364.5,4500,4187.5,4437.5,4292,4500,4380.5,4154,4110.5,4163
"37","Dyker Heights",1050,6,1000,7,1000,5,1000,5,1000,5,1600,3,1500,5,1350,4,1600,3,1600,3,1600,3,1600,3,1775,4,1775,4,1775,4,1775,4,1775,4,1775,4,1950,3,1950,3,1950,3,1950,3,1950,3,1950,3,"Brooklyn","neighborhood",1925,2100,1972.5,2175,1950,1995,2200,2200,2300,2200,2200,2200,2197.5,2200,2197.5,2100,1999,1925,1950,1850,2049.5,1995,2192.5,2100,2197.5,1997.5,1995
"38","East Elmhurst",1435,30,1250,26,1250,23,1250,23,1550,18,1600,17,1652,15,1500,17,1500,17,1500,17,1550,18,1500,17,1650,16,1500,19,1650,16,1830,12,1500,16,1800,13,1500,15,1790,15,1500,13,1500,13,1375,12,1650,14,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"39","East Flatbush",1474.5,82,1350,70,1500,60,1500,60,1500,61,1525,64,1575,59,1575,59,1550,61,1500,58,1500,52,1500,51,1500,50,1500,47,1500,51,1500,54,1500,48,1500,45,1500,48,1500,51,1562.5,44,1562.5,44,1575,43,1525,48,"Brooklyn","neighborhood",1800,1895,1849,1847.5,1800,1850,1850,1900,1900,1999.5,1972.5,1850,1850,2000,2000,2000,1999,1999,2050,2100,2000,1925,1949,1997,2050,2050,2095
"40","East Harlem",2100,271,2100,240,2000,211,2000,211,2000,199,2150,206,2100,209,2100,197,2037,189,2000,190,2000,178,2000,172,2000,164,2000,158,2000,149,2000,149,1985,144,2000,146,2000,143,2000,132,2000,125,2000,124,1960,124,2000,129,"Manhattan","neighborhood",2281,2292,2300,2379,2444,2450,2463,2400,2350,2350,2400,2400,2400,2370,2374,2353,2395,2450,2450,2400,2375,2375,2300,2395,2300,2345,2350
"41","East New York",1425,35,1425,37,1350,35,1350,35,1437.5,36,1437.5,38,1412.5,36,1225,31,1237.5,32,1250,29,1400,25,1375,32,1450,27,1450,29,1500,27,1462.5,24,1900,23,1662.5,22,1900,23,1900,23,1900,23,1650,25,1650,25,1425,25,"Brooklyn","neighborhood",1725,1950,1900,1900,1850,1875,2100,2150,2000,1875,2000,2000,1975,1950,2000,2000,2099.5,2000,2050,2050,1972.5,1850,1887.5,1997.5,2000,2100,2150
"42","East Village",3400,533,3500,425,3600,348,3600,348,3696,312,3600,300,3620,302,3600,295,3550,267,3525,254,3800,236,3800,239,3775,240,3699,211,3775,206,3725,194,3800,192,3900,189,3900,191,3800,191,3900,170,3900,167,3900,161,3850,166,"Manhattan","neighborhood",3150,3097,3200,3250,3300,3300,3299,3225,3150,3100,3100,3000,3000,3195,3195,3361,3350,3295,3277,3200,3000,3020,2900,2941.5,2995,3062.5,3050
"43","Eastchester",1850,6,2000,5,1700,3,1700,3,1700,5,1700,5,1700,6,1700,6,1700,6,1700,6,1700,5,1700,5,1700,5,1700,5,1700,5,1700,5,1700,6,1700,6,1700,6,1700,7,1700,7,1700,7,1700,7,1700,7,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"44","Edenwald",1595,1,1595,1,1699.75,10.5,1699.75,10.5,2197.5,2,3038,2,3038,2,3038,2,3038,2,3038,2,3038,2,3038,2,3276,1,3276,1,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"45","Elmhurst",1257.5,38,1215,36,1237,32,1237,32,1215,29,1387,24,1400,19,1399.5,22,1400,23,1400,21,1399.5,24,1400,23,1400,23,1400,21,1399,21,1375,19,1375,19,1399,17,1399.5,18,1399.5,16,1400,15,1399.5,18,1399.5,18,1400,19,"Queens","neighborhood",1750,1885,1850,1950,1850,2000,1987,1830,1895,1825,1825,1995,1949,2099,2000,2000,2100,2092.5,2100,2000,1997.5,1899,1899,1900,1950,1935,1935
"46","Financial District",4000,101,4050,76,3724.5,70,3724.5,70,4550,64,4300,58,3649.5,56,4000,49,4100,41,4500,41,4700,34,4699.5,38,4200,41,4000,35,4641,35,3925,40,4600,31,4600,29,3750,29,4299,33,4750,30,4000,35,3500,35,4000,31,"Manhattan","neighborhood",3500,3527.5,3550,3595,3600,3660,3700,3625.5,3665,3646.5,3500,3484,3450,3479.5,3591,3613,3650,3660,3785,3750,3700,3645,3644,3662,3600,3750,3645
"47","Flatbush",1500,167,1500,141,1500,123,1500,123,1500,122,1500,112,1500,125,1500,110,1597.5,106,1550,113,1525,110,1600,93,1500,91,1600,91,1600,88,1600,86,1537.5,84,1587.5,84,1625,78,1500,77,1600,69,1650,67,1625,70,1625,74,"Brooklyn","neighborhood",1850,1850,1850,1900,1895,1938,1900,1900,1900,1900,1900,1897,1895,1900,1900,1950,1950,2000,2100,2095,2000,2099,1998.5,1950,2000,2000,1999
"48","Flatlands",1987.5,18,1500,20,1737.5,16,1737.5,16,1737.5,16,1500,13,1750,12,1750,12,1750,14,1500,13,1500,13,1750,12,1750,12,1987.5,12,1750,12,1750,12,1750,12,1750,12,1750,12,1500,16,1500,16,1500,14,1500,14,1400,11,"Brooklyn","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,1800,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2100,2100,1850,2100,2105.5
