"","neighbourhood","2016-01-01p","2016-01-01l","2016-02-01p","2016-02-01l","2016-03-01p","2016-03-01l","2016-04-01p","2016-04-01l","2016-05-01p","2016-05-01l","2016-06-01p","2016-06-01l","2016-07-01p","2016-07-01l","2016-08-01p","2016-08-01l","2016-09-01p","2016-09-01l","2016-10-01p","2016-10-01l","2016-11-01p","2016-11-01l","2016-12-01p","2016-12-01l","2017-01-01p","2017-01-01l","2017-02-01p","2017-02-01l","2017-03-01p","2017-03-01l","2017-04-01p","2017-04-01l","2017-05-01p","2017-05-01l","2017-06-01p","2017-06-01l","2017-07-01p","2017-07-01l","2017-08-01p","2017-08-01l","2017-09-01p","2017-09-01l","2017-10-01p","2017-10-01l","2017-11-01p","2017-11-01l","2017-12-01p","2017-12-01l","Boro","AreaType","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"105","Ridgewood",1500,75,1500,61,1425,54,1425,54,1375,56,1400,47,1400,44,1350,43,1350,39,1400,37,1400,35,1450,34,1500,35,1500,36,1500,38,1325,28,1300,29,1297.5,28,1350,25,1350,29,1500,25,1450,26,1500,25,1500,24,"Queens","neighborhood",2299.5,2500,2400,2500,2600,2500,2500,2450,2500,2350,2362.5,2399.5,2471.5,2499,2500,2499,2500,2600,2600,2550,2400,2300,2250,2385,2387,2450,2485
"106","Riverdale",1470,3,3485,2,1385,4,1385,4,1385,4,3485,2,3485,2,3485,2,1470,3,1470,3,5500,1,5500,1,5500,1,3900,3,3900,1,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",1955,1860,2000,2000,2257.5,2150,2200,2300,2300,2050,2100,2050,1995,1959,1950,2100,2000,2100,2200,2197.5,2147.5,2000,2000,2000,2172.5,2200,2295
"107","Roosevelt Island",2050,11,2100,10,2150,7,2150,7,2175,6,2100,10,2175,8,2150,9,2050,5,2150,7,2100,6,2100,6,2100,6,2150,5,2150,5,2100,6,2050,5,2050,5,2050,5,2100,6,2050,5,2050,5,2050,5,2050,5,"Manhattan","neighborhood",3160,3495,3607,3022.5,3655,3495,3390,3198,3330,3123,3145.5,3385.5,3182,3252.5,2915,3325,3277.5,3332.5,3285,3005,2785,2905,2900,2915,3080.5,3265,3245
"108","Rosedale",2000,1,2500,2,3000,1,3000,1,2250,2,2250,4,1918,5,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,2459,2,3000,3,3000,3,3500,2,3500,2,3000,1,2250,2,3000,1,3000,1,3000,1,3000,1,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"109","Sheepshead Bay",1525,24,1845,20,1845,14,1845,14,1845,14,2000,21,2000,19,2100,17,2050,18,1845,14,1845,16,1945,18,1945,18,2000,15,1945,16,1945,16,2000,13,2000,13,1695,10,1695,10,1500,9,1500,9,1500,9,1500,9,"Brooklyn","neighborhood",1750,1850,1800,1850,1900,1825,1800,1750,1775,1792.5,1795,1790,1850,1950,1950,1950,1900,1850,1800,1900,1850,1712.5,1849.5,1997.5,1912.5,1890,1800
"110","Soundview",770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,1826.25,8.5,770,1,770,1,770,1,770,1,770,1,770,1,770,1,770,1,785,2,785,2,"Bronx","neighborhood",1700,1550,1765,2150,2197.5,2162.5,1606,1600,1587.5,1579.5,1584,1675,1700,1800,1650,1675,1700,1750,1700,1875,1675,1687.5,2098.75,2100,2100,1687.5,1650
"111","South Ozone Park",2000,3,1900,2,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,1900,2,1900,2,1900,2,1900,2,2000,1,2000,1,3499,2,3499,2,3499,2,3499,2,3499,2,3499,2,3499,2,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"112","Springfield Gardens",2750,5,2750,5,2750,5,2750,5,2875,4,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,2750,5,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"113","St. Albans",1339.5,14,1500,17,1500,15,1500,15,1575,14,1575,16,1650,15,1775,14,1650,15,1575,16,1575,16,1650,15,1775,14,1650,13,1650,13,1775,12,1775,12,1775,12,1500,7,1500,8,1500,8,1500,9,1575,10,1650,11,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"114","Sunnyside",1750,58,1700,53,1550,50,1550,50,1492.5,46,1606.5,44,1575,45,1830,34,1569,40,1719,40,1719,36,1638,35,1638,35,1719,38,1566.5,34,1647.5,34,1719,34,1719,32,1719,30,1719,32,1638,33,1825,34,1917.5,34,1850,33,"Queens","neighborhood",2050,2000,2000,2000,1975,1962.5,1975,2025,2050,2017.5,2000,2000,2000,1950,1950,1950,2000,2000,2000,2000,1975,2000,1995,2000,1967.5,1950,2000
"115","Sunset Park",1400,68,1400,58,1400,53,1400,53,1400,51,1530,57,1455,62,1450,61,1460,57,1460,57,1600,57,1600,46,1640,42,1600,49,1700,41,1680,38,1700,36,1700,39,1680,39,1640,38,1600,29,1600,30,1600,34,1680,33,"Brooklyn","neighborhood",2000,1997.5,1995,2000,2000,2200,2000,2000,2000,2000,2000,1960,1960,1950,2000,2000,2025,2050,2195,2025,2050,2000,2000,2000,1999,2000,1995
"116","Throgs Neck",1640,14.5,1762.5,11.5,1699.75,10.5,1699.75,10.5,1700,10,1675,10,1700,11,1748,10,1724,11,2000,1,2000,1,2000,1,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",1900,2050,2100,2150,2197.5,1545,2195,2197.5,2200,2150,1800,2200,2200,2167.5,2150,2050,1750,2000,1950,2198.75,2150,1950,1850,1800,2100,1875,1850
"117","Tremont",1250,2,1250,2,1250,2,1250,2,1000,1,1350,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1826.25,8.5,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1,"Bronx","neighborhood",1597.5,1572.5,1425,1485,1497.5,1675,1675,1699,1567.5,1550,1547,1350,1350,1350,1375,1525,1625,1600,1750,1725,1724.5,1700,1700,1600,1700,1800,1800
"118","Tribeca",5500,41,5200,29,4780,17,4780,17,4890,20,5200,19,5100,20,5000,21,4780,19,5550,16,5000,17,4780,15,4640,16,5340,18,4640,16,4640,16,4800,13,4540,16,4540,16,4540,16,4780,15,4780,13,5340,14,4140,12,"Manhattan","neighborhood",6095,6441,6500,7100,7893.5,7997,8000,7650,7997,8000,7823.5,8000,7950,7570,7925,7950,7545,7500,8400,6095,5995,5995,5675,6400,6465,6465,6597.5
"119","University Heights",1450,1,1450,1,1125,2,1125,2,1125,2,1450,1,1125,2,1125,2,1125,2,1125,2,1125,2,1125,2,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,"Bronx","neighborhood",1350,1400,1400,1357.5,1400,1575,1562,1499,1550,1649,1450,1450,1550,1650,1662.5,1675,1495,1550,1500,1625,1597.5,1550,1600,1560,1637.5,1500,1647.5
"120","Upper East Side",3200,426,3225,310,3250,255,3250,255,3250,239,3250,241,3200,229,3200,228,3250,203,3200,198,3200,178,3250,175,3250,165,3255,159,3327.5,148,3327.5,148,3450,147,3494,140,3500,144,3500,132,3500,130,3450,129,3500,123,3500,122,"Manhattan","neighborhood",2995,2970,3000,3000,3000,2995,2975,2940,2950,2950,2975,3000,2970,2995,2950,2950,2950,2950,2925,2900,2995,2950,2995,2990,2929,2900,2850
"121","Upper West Side",3300,423,3350,337,3300,270,3300,270,3250,239,3200,256,3200,259,3200,261,3447,234,3200,231,3099.5,204,3200,209,3250,205,3300,194,3250,187,3250,180,3400,173,3425,174,3350,166,3350,163,3200,156,3200,154,3200,154,3200,156,"Manhattan","neighborhood",3450,3450,3450,3475,3495,3450,3495,3445,3495,3480,3400,3380,3315,3345,3299,3300,3350,3390,3385,3395,3395,3400,3350,3327.5,3350,3290,3250
"122","Van Nest",762.5,2,732.5,2,667.5,2,667.5,2,1700,10,650,3,667.5,2,667.5,2,1724,11,565,1,565,1,607.5,2,565,1,607.5,2,607.5,2,565,1,607.5,2,607.5,2,565,1,565,1,565,1,565,1,1842.5,8,607.5,2,"Bronx","neighborhood",2100,1350,1325,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"123","Wakefield",2955.5,2,2955.5,2,2955.5,2,2955.5,2,2955.5,2,2126,2,2635,1,2635,1,2635,1,2635,1,2635,1,2635,1,2635,1,1617,3,1742.5,2,2635,1,2635,1,2635,1,2635,1,2635,1,2635,1,1842.5,2,1842.5,2,1842.5,2,"Bronx","neighborhood",1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1395,1375,1425,1500,1700,1575,1450,1475,1475,2198.75,2123.75,1500,2098.75,2100,2100,2100,2105.5
"124","Washington Heights",1500,282,1500,218,1600,187,1600,187,1595.5,184,1595.5,190,1500,199,1500,186,1500,174,1600,155,1500,158,1500,151,1500,152,1500,151,1500,138,1500,149,1500,143,1500,137,1500,136,1500,124,1525,114,1619,116,1619,120,1600,127,"Manhattan","neighborhood",2100,2100,2195,2195,2195,2150,2175,2195,2150,2195,2195,2245,2250,2150,2150,2195,2195,2195,2250,2200,2100,2185,2100,2100,2133.5,2125,2150
"125","West Village",4200,201,4500,154,4500,139,4500,139,4500,123,4500,120,4500,124,4250,113,4405,99,4092.5,96,4033,91,4092.5,90,4092.5,88,4042.5,72,4092.5,82,4200,85,4200,75,4200,79,4250,75,4200,71,4200,70,4085,73,4200,71,4200,69,"Manhattan","neighborhood",3800,3800,3850,3895,3900,3970,3950,3895,3750,3695,3587.5,3565,3585,3600,3600,3695,3800,3800,3850,3800,3695,3595,3495,3500,3625,3725,3772.5
"126","Williamsbridge",1300,7,1525,8,1344,9,1344,9,1322,10,1300,10,1300,9,1300,6,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,1300,9,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2250,2175,1500,1950,1897.5,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"127","Williamsburg",2350,928,2350,739,2294,618,2294,618,2300,558,2200,631,2225,621,2200,626,2250,580,2300,581,2300,552,2300,547,2300,537,2300,505,2375,479,2350,463,2375,437,2400,416,2400,409,2400,427,2387.5,396,2500,384,2500,393,2439,398,"Brooklyn","neighborhood",3276,3200,3117,3100,3199,3195,3195,3200,3149,3155,3100,3070,3000,3000,3029,3100,3150,3195,3147,3150,3100,3000,2965,2900,2902.5,2950,2950
"128","Windsor Terrace",2400,34,2450,27,2400,23,2400,23,2475,22,2475,26,2500,23,2450,27,2500,23,2775,22,2700,23,2700,21,2940,19,2850,13,2940,19,2800,20,2800,20,2750,21,2725,22,2750,21,2700,21,2700,21,2700,21,2725,20,"Brooklyn","neighborhood",2469,2500,2500,2500,2550,2491,2400,2450,2599,2574,2550,2599.5,2500,2500,2400,2500,2650,2750,2600,2522.5,2525,2500,2430.5,2400,2400,2400,2475
"129","Woodhaven",1067,6,1167,4,1167,4,1167,4,1167,4,1134,6,1134,7,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1134,5,1167,4,1134,5,1134,5,1134,5,1134,5,1134,5,"Queens","neighborhood",1650,1800,2100,2150,2197.5,2162.5,2195,1700,2200,2150,1650,1600,1600,1662.5,1750,1997.5,2100,1750,1700,1800,2000,1997.5,1947.5,2100,2100,2200,2175
"130","Woodlawn",1640,14.5,1762.5,11.5,1050,1,1050,1,1050,1,1050,1,1700,11,1748,10,1724,11,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"131","Woodside",1200,40,1200,32,1250,31,1250,31,1225,30,1400,29,1462.5,34,1475,33,1475,33,1475,31,1425,32,1499,25,1462.5,26,1527.5,22,1527.5,24,1580,23,1527.5,22,1580,21,1580,23,1580,23,1799.5,20,1799.5,20,1580,19,1799.5,18,"Queens","neighborhood",1900,1800,1775,1737.5,1675,1825,1900,1900,1712.5,1800,1897,2000,1800,1800,1900,1900,1750,2000,2100,2050,2025,2000,1920,1920,1795,1775,1975
